,City,Country,Temp,Lat,Lon,Humidity,Clouds,Wind Speed
0,Maniitsoq,GL,29.61,65.42,-52.9,100,88,10.2
1,Nanortalik,GL,33.39,60.14,-45.24,100,92,2.82
2,Picota,PE,70.92,-6.92,-76.33,94,24,2.15
3,Tommot,RU,42.84,58.97,126.27,92,64,7.29
4,Praia da Vitoria,PT,68,38.73,-27.07,94,75,10.31
5,Luchegorsk,RU,59.22,46.44,134.3,46,0,6.62
7,Klerksdorp,ZA,63.45,-26.86,26.67,25,56,10.09
8,Narsaq,GL,35.6,60.91,-46.05,43,80,3.36
9,San Jeronimo,PE,33.12,-13.65,-73.37,89,0,1.7
10,Grenfell,AU,68.85,-33.9,148.16,68,64,9.98
11,Los Llanos de Aridane,ES,73.4,28.66,-17.92,69,36,8.05
12,Moussoro,TD,79.02,13.64,16.49,75,0,5.5
13,Ust-Tsilma,RU,44.46,65.44,52.15,91,80,7.96
14,Scarborough,GB,48.2,54.28,-0.41,76,80,4.7
16,Nuuk,GL,33.8,64.17,-51.74,100,76,13.87
17,Shingu,JP,73.4,33.72,135.99,64,75,3.36
18,Shangqiu,CN,81.09,34.42,115.65,42,0,3.6
19,Khasan,RU,67.14,42.43,130.64,79,0,3.83
20,Jasper,US,70.27,33.83,-87.28,100,1,2.26
21,Lumphat,KH,82.62,13.5,106.97,100,48,4.72
22,Camacha,PT,69.01,33.08,-16.33,77,40,3.36
23,Qaanaaq,GL,20.43,77.48,-69.36,100,0,7.74
24,Lakeville,US,65.73,41.85,-70.95,93,90,3.36
25,Lugovoy,RU,49.32,59.72,65.88,76,56,8.75
26,Lebu,ET,59,8.96,38.73,67,20,4.7
27,Paamiut,GL,36.72,61.99,-49.67,100,92,5.84
29,San Jose,PH,82.89,15.79,120.99,84,56,3.04
30,Pisco,PE,60.8,-13.71,-76.2,93,12,5.82
32,Tianpeng,CN,77.49,28.88,112.34,64,20,6.62
34,Khatanga,RU,33.39,71.98,102.47,95,88,8.86
35,Toora-Khem,RU,33.57,52.47,96.11,75,92,9.19
36,Petawawa,CA,50,45.89,-77.27,93,90,5.82
37,Rabo de Peixe,PT,66.2,37.8,-25.58,82,40,11.41
38,Buluang,PH,87.8,10.47,123.98,66,90,4.7
40,Sarh,TD,71.6,9.14,18.39,94,0,6.62
41,Souillac,FR,56.03,45.6,-0.6,82,90,4.7
42,Qasigiannguit,GL,26.6,68.82,-51.19,42,0,10.29
43,Primorsk,RU,46.44,60.37,28.62,100,92,5.06
44,Poco Verde,BR,68.04,-10.71,-38.18,92,92,5.17
45,Halifax,CA,51.8,44.65,-63.58,100,90,19.46
47,Sisimiut,GL,16.74,66.94,-53.67,100,44,4.16
48,Beyneu,KZ,68.85,45.32,55.19,43,0,4.61
49,Haines Junction,CA,21.51,60.75,-137.51,87,0,2.93
50,Gamboma,CG,71.37,-1.87,15.88,97,24,5.39
51,Hailar,CN,68.31,49.2,119.7,38,0,11.99
53,Tasiilaq,GL,33.8,65.61,-37.64,69,48,2.24
54,Bougouni,ML,70.56,11.42,-7.49,93,44,2.93
55,Canmore,CA,23,51.09,-115.35,100,90,5.82
56,Kibondo,TZ,76.05,-3.59,30.72,40,92,7.63
57,Mackenzie,CA,24.8,55.34,-123.09,68,1,2.15
58,Upernavik,GL,27.72,72.79,-56.15,100,0,10.65
60,Saucillo,MX,77.85,28.03,-105.29,35,56,8.41
62,Sibolga,ID,77.04,1.74,98.78,96,48,1.59
63,Naryan-Mar,RU,41.58,67.67,53.09,100,92,11.21
64,Kruisfontein,ZA,60.75,-34,24.73,80,100,8.75
66,Bosaso,SO,82.4,11.28,49.18,78,0,10.29
67,Jega,NG,73.44,12.22,4.38,93,0,8.75
68,Yuzhnyy,RU,43.02,53.54,39.45,100,92,8.08
69,Calnali,MX,69.03,20.9,-98.58,98,92,2.37
70,Mayya,RU,46.4,61.74,130.28,63,0,8.95
71,Khimki,RU,48.63,55.89,37.45,93,90,6.71
73,Ipixuna,BR,77,-1.76,-48.8,88,0,6.93
74,Tongren,CN,71.28,27.72,109.18,48,80,4.94
75,Catania,IT,62.15,37.5,15.09,93,75,9.17
77,Butaritari,KI,85.32,3.07,172.79,100,0,3.83
78,Lima,PE,57.15,-12.06,-77.04,78,48,1.81
79,Albany,US,61.09,42.65,-73.75,90,90,9.17
80,Qostanay,KZ,51.8,53.17,63.58,43,0,13.42
81,Hami,CN,70.65,42.84,93.51,39,20,2.59
83,Simpang,MY,90.45,4.82,100.71,55,75,3.36
84,Mamallapuram,IN,87.8,12.63,80.17,70,40,9.17
85,Eyl,SO,78.57,7.98,49.82,83,64,12.44
86,Putina,PE,21.42,-14.91,-69.87,70,0,2.93
